index,LotArea,StreetP,StreetG,UtilitiesALL,UtilitiesNSW,OQualPO,OQualFA,OQualTA,OQualGD,OQualEX,YearBuilt,TotalBsmtSF,Bathrooms,HeatingWall,HeatingOthw,HeatingGrav,HeatingGasW,HeatingGasA,HeatingFloor,CentralAir,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQualPO,KitchenQualFA,KitchenQualTA,KitchenQualGD,KitchenQualEX,Fireplaces,GarageArea,PavedDrive,PoolArea,PavedDriveP,PavedDrive1,Fence,SalePrice
0,8450,1,0,1,0,0,0,1,0,0,2003,856,3,0,0,0,0,1,0,1,1710,3,1,0,0,0,1,0,0,548,0,0,0,1,0,208500
1,9600,1,0,1,0,0,0,0,0,1,1976,1262,2,0,0,0,0,1,0,1,1262,3,1,0,0,1,0,0,1,460,0,0,0,1,0,181500
2,11250,1,0,1,0,0,0,1,0,0,2001,920,3,0,0,0,0,1,0,1,1786,3,1,0,0,0,1,0,1,608,0,0,0,1,0,223500
3,9550,1,0,1,0,0,0,1,0,0,1915,756,1,0,0,0,0,1,0,1,1717,3,1,0,0,0,1,0,1,642,0,0,0,1,0,140000
4,14260,1,0,1,0,0,0,1,0,0,2000,1145,3,0,0,0,0,1,0,1,2198,4,1,0,0,0,1,0,1,836,0,0,0,1,0,250000
5,14115,1,0,1,0,0,0,1,0,0,1993,796,2,0,0,0,0,1,0,1,1362,1,1,0,0,1,0,0,0,480,0,0,0,1,1,143000
6,10084,1,0,1,0,0,0,1,0,0,2004,1686,2,0,0,0,0,1,0,1,1694,3,1,0,0,0,1,0,1,636,0,0,0,1,0,307000
7,10382,1,0,1,0,0,0,0,1,0,1973,1107,3,0,0,0,0,1,0,1,2090,3,1,0,0,1,0,0,1,484,0,0,0,1,0,200000
8,6120,1,0,1,0,0,0,1,0,0,1931,952,2,0,0,0,0,1,0,1,1774,2,2,0,0,1,0,0,1,468,0,0,0,1,0,129900
9,7420,1,0,1,0,0,0,0,1,0,1939,991,1,0,0,0,0,1,0,1,1077,2,2,0,0,1,0,0,1,205,0,0,0,1,0,118000
10,11200,1,0,1,0,0,0,1,0,0,1965,1040,1,0,0,0,0,1,0,1,1040,3,1,0,0,1,0,0,0,384,0,0,0,1,0,129500
11,11924,1,0,1,0,0,0,1,0,0,2005,1175,3,0,0,0,0,1,0,1,2324,4,1,0,0,0,0,1,1,736,0,0,0,1,0,345000
12,12968,1,0,1,0,0,0,0,1,0,1962,912,1,0,0,0,0,1,0,1,912,2,1,0,0,1,0,0,0,352,0,0,0,1,0,144000
13,10652,1,0,1,0,0,0,1,0,0,2006,1494,2,0,0,0,0,1,0,1,1494,3,1,0,0,0,1,0,1,840,0,0,0,1,0,279500
14,10920,1,0,1,0,0,0,1,0,0,1960,1253,2,0,0,0,0,1,0,1,1253,2,1,0,0,1,0,0,1,352,0,0,0,1,1,157000
15,6120,1,0,1,0,0,0,0,0,1,1929,832,1,0,0,0,0,1,0,1,854,2,1,0,0,1,0,0,0,576,0,0,0,1,1,132000
16,11241,1,0,1,0,0,0,0,1,0,1970,1004,1,0,0,0,0,1,0,1,1004,2,1,0,0,1,0,0,1,480,0,0,0,1,0,149000
17,10791,1,0,1,0,0,0,1,0,0,1967,0,2,0,0,0,0,1,0,1,1296,2,2,0,0,1,0,0,0,516,0,0,0,1,0,90000
18,13695,1,0,1,0,0,0,1,0,0,2004,1114,2,0,0,0,0,1,0,1,1114,3,1,0,0,0,1,0,0,576,0,0,0,1,0,159000
19,7560,1,0,1,0,0,0,0,1,0,1958,1029,1,0,0,0,0,1,0,1,1339,3,1,0,0,1,0,0,0,294,0,0,0,1,1,139000
20,14215,1,0,1,0,0,0,1,0,0,2005,1158,4,0,0,0,0,1,0,1,2376,4,1,0,0,0,1,0,1,853,0,0,0,1,0,325300
21,7449,1,0,1,0,0,0,0,1,0,1930,637,1,0,0,0,0,1,0,1,1108,3,1,0,0,0,1,0,1,280,1,0,0,0,1,139400
22,9742,1,0,1,0,0,0,1,0,0,2002,1777,2,0,0,0,0,1,0,1,1795,3,1,0,0,0,1,0,1,534,0,0,0,1,0,230000
23,4224,1,0,1,0,0,0,0,1,0,1976,1040,1,0,0,0,0,1,0,1,1060,3,1,0,0,1,0,0,1,572,0,0,0,1,0,129900
24,8246,1,0,1,0,0,0,0,0,1,1968,1060,1,0,0,0,0,1,0,1,1060,3,1,0,0,0,1,0,1,270,0,0,0,1,1,154000
25,14230,1,0,1,0,0,0,1,0,0,2007,1566,2,0,0,0,0,1,0,1,1600,3,1,0,0,0,1,0,1,890,0,0,0,1,0,256300
26,7200,1,0,1,0,0,0,0,1,0,1951,900,1,0,0,0,0,1,0,1,900,3,1,0,0,0,1,0,0,576,0,0,0,1,0,134800
27,11478,1,0,1,0,0,0,1,0,0,2007,1704,2,0,0,0,0,1,0,1,1704,3,1,0,0,0,1,0,1,772,0,0,0,1,0,306000
28,16321,1,0,1,0,0,0,0,1,0,1957,1484,1,0,0,0,0,1,0,1,1600,2,1,0,0,1,0,0,1,319,0,0,0,1,0,207500
29,6324,1,0,1,0,0,0,0,1,0,1927,520,1,0,0,0,0,1,0,0,520,1,1,0,1,0,0,0,0,240,0,0,0,1,0,68500
30,8500,1,0,1,0,0,0,1,0,0,1920,649,1,0,0,0,0,1,0,0,1317,3,1,0,0,1,0,0,0,250,1,0,0,0,1,40000
31,8544,1,0,1,0,0,0,0,1,0,1966,1228,2,0,0,0,0,1,0,1,1228,3,1,0,0,0,1,0,0,271,0,0,0,1,1,149350
32,11049,1,0,1,0,0,0,1,0,0,2007,1234,2,0,0,0,0,1,0,1,1234,3,1,0,0,0,1,0,0,484,0,0,0,1,0,179900
33,10552,1,0,1,0,0,0,1,0,0,1959,1398,2,0,0,0,0,1,0,1,1700,4,1,0,0,0,1,0,1,447,0,0,0,1,0,165500
34,7313,1,0,1,0,0,0,1,0,0,2005,1561,2,0,0,0,0,1,0,1,1561,2,1,0,0,0,0,1,1,556,0,0,0,1,0,277500
35,13418,1,0,1,0,0,0,1,0,0,2004,1117,4,0,0,0,0,1,0,1,2452,4,1,0,0,0,1,0,1,691,0,0,0,1,0,309000
36,10859,1,0,1,0,0,0,1,0,0,1994,1097,2,0,0,0,0,1,0,1,1097,3,1,0,0,1,0,0,0,672,0,0,0,1,0,145000
37,8532,1,0,1,0,0,0,0,1,0,1954,1297,1,0,0,0,0,1,0,1,1297,3,1,0,0,1,0,0,1,498,0,0,0,1,0,153000
38,7922,1,0,1,0,0,0,0,1,0,1953,1057,1,0,0,0,0,1,0,1,1057,3,1,0,0,0,1,0,0,246,0,0,0,1,0,109000
